Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2022-01-01,1.99,0.133
2022-01-02,1.8,0.155
2022-01-03,1.92,0.179
2022-01-04,2.28,0.145
2022-01-05,2.25,0.139
2022-01-06,2.08,0.163
2022-01-07,1.99,0.166
2022-01-08,2.19,0.161
2022-01-09,2.15,0.155
2022-01-10,1.99,0.149
2022-01-11,2.38,0.154
2022-01-12,2.1,0.168
2022-01-13,2.06,0.164
2022-01-14,2.32,0.134
2022-01-15,1.82,0.13
2022-01-16,2.04,0.15
2022-01-17,2.26,0.133
2022-01-18,2.05,0.145
2022-01-19,2.34,0.174
2022-01-20,2.17,0.154
2022-01-21,2.39,0.159
2022-01-22,1.83,0.135
2022-01-23,2.17,0.131
2022-01-24,1.85,0.179
2022-01-25,2.29,0.13
2022-01-26,2.22,0.13
2022-01-27,2.14,0.153
2022-01-28,2.0,0.143
2022-01-29,2.1,0.134
2022-01-30,2.29,0.14
2022-01-31,1.79,0.134
2022-02-01,2.38,0.172
2022-02-02,2.14,0.159
2022-02-03,2.01,0.149
2022-02-04,2.07,0.175
2022-02-05,2.04,0.134
2022-02-06,2.29,0.137
2022-02-07,2.35,0.151
2022-02-08,1.79,0.132
2022-02-09,2.12,0.165
2022-02-10,2.34,0.163
2022-02-11,2.22,0.152
2022-02-12,2.27,0.15
2022-02-13,2.08,0.164
2022-02-14,2.26,0.167
2022-02-15,2.29,0.14
2022-02-16,1.91,0.161
2022-02-17,1.97,0.144
2022-02-18,1.93,0.161
2022-02-19,1.92,0.131
2022-02-20,2.03,0.153
2022-02-21,2.27,0.163
2022-02-22,1.92,0.155
2022-02-23,2.31,0.167
2022-02-24,1.96,0.132
2022-02-25,1.99,0.149
2022-02-26,2.05,0.152
2022-02-27,1.96,0.148
2022-02-28,2.31,0.135
2022-03-01,1.86,0.177
2022-03-02,2.38,0.149
2022-03-03,1.81,0.133
2022-03-04,2.25,0.162
2022-03-05,1.97,0.162
2022-03-06,1.9,0.14
2022-03-07,2.33,0.133
2022-03-08,1.79,0.156
2022-03-09,1.93,0.173
2022-03-10,2.17,0.179
2022-03-11,2.13,0.155
2022-03-12,2.39,0.179
2022-03-13,2.31,0.178
2022-03-14,1.94,0.171
2022-03-15,2.31,0.178
2022-03-16,2.36,0.137
2022-03-17,1.91,0.17
2022-03-18,2.16,0.15
2022-03-19,1.99,0.137
2022-03-20,1.81,0.161
2022-03-21,2.4,0.179
2022-03-22,2.39,0.152
2022-03-23,2.38,0.137
2022-03-24,2.1,0.167
2022-03-25,2.2,0.137
2022-03-26,1.97,0.15
2022-03-27,1.93,0.14
2022-03-28,1.83,0.146
2022-03-29,1.79,0.156
2022-03-30,2.32,0.147
2022-03-31,2.25,0.164
2022-04-01,2.38,0.147
2022-04-02,2.23,0.162
2022-04-03,2.01,0.139
2022-04-04,2.02,0.174
2022-04-05,2.23,0.179
2022-04-06,1.9,0.154
2022-04-07,2.02,0.168
2022-04-08,1.92,0.138
2022-04-09,1.79,0.18
2022-04-10,2.37,0.179
2022-04-11,2.22,0.136
2022-04-12,2.23,0.156
2022-04-13,1.94,0.131
2022-04-14,2.29,0.176
2022-04-15,2.23,0.145
2022-04-16,2.31,0.136
2022-04-17,1.95,0.155
2022-04-18,1.81,0.142
2022-04-19,2.28,0.157
2022-04-20,1.91,0.146
2022-04-21,1.8,0.154
2022-04-22,1.83,0.177
2022-04-23,1.92,0.133
2022-04-24,1.95,0.162
2022-04-25,2.36,0.153
2022-04-26,1.81,0.149
2022-04-27,2.22,0.153
2022-04-28,2.19,0.139
2022-04-29,2.04,0.131
2022-04-30,1.79,0.147
2022-05-01,2.36,0.17
2022-05-02,2.38,0.147
2022-05-03,2.13,0.133
2022-05-04,2.08,0.178
2022-05-05,2.21,0.134
2022-05-06,2.29,0.164
2022-05-07,2.28,0.143
2022-05-08,1.79,0.171
2022-05-09,2.12,0.151
2022-05-10,1.95,0.146
2022-05-11,1.91,0.158
2022-05-12,2.34,0.167
2022-05-13,2.37,0.151
2022-05-14,2.02,0.15
2022-05-15,2.38,0.142
2022-05-16,2.14,0.17
2022-05-17,1.99,0.177
2022-05-18,1.89,0.149
2022-05-19,2.21,0.171
2022-05-20,2.09,0.17
2022-05-21,1.98,0.161
2022-05-22,2.03,0.169
2022-05-23,2.18,0.14
2022-05-24,2.05,0.146
2022-05-25,2.29,0.167
2022-05-26,1.95,0.166
2022-05-27,2.27,0.134
2022-05-28,2.0,0.17
2022-05-29,2.04,0.145
2022-05-30,2.08,0.134
2022-05-31,2.26,0.168
2022-06-01,2.02,0.145
2022-06-02,2.17,0.171
2022-06-03,2.41,0.141
2022-06-04,2.12,0.165
2022-06-05,2.13,0.147
2022-06-06,1.97,0.144
2022-06-07,2.2,0.154
2022-06-08,2.12,0.175
2022-06-09,2.03,0.165
2022-06-10,2.29,0.148
2022-06-11,2.2,0.177
2022-06-12,1.8,0.153
2022-06-13,2.28,0.143
2022-06-14,1.97,0.177
2022-06-15,2.41,0.161
2022-06-16,1.9,0.18
2022-06-17,2.35,0.15
2022-06-18,1.91,0.161
2022-06-19,1.96,0.136
2022-06-20,1.88,0.132
2022-06-21,2.09,0.151
2022-06-22,2.33,0.174
2022-06-23,1.85,0.14
2022-06-24,2.12,0.167
2022-06-25,2.27,0.167
2022-06-26,1.92,0.168
2022-06-27,1.96,0.161
2022-06-28,2.03,0.175
2022-06-29,1.93,0.146
2022-06-30,1.98,0.148
2022-07-01,2.27,0.174
2022-07-02,1.97,0.176
2022-07-03,2.27,0.154
2022-07-04,2.03,0.158
2022-07-05,1.84,0.162
2022-07-06,2.33,0.166
2022-07-07,2.21,0.178
2022-07-08,2.03,0.161
2022-07-09,2.06,0.165
2022-07-10,2.22,0.165
2022-07-11,1.95,0.172
2022-07-12,2.32,0.136
2022-07-13,2.07,0.162
2022-07-14,2.02,0.178
2022-07-15,1.84,0.146
2022-07-16,2.19,0.176
2022-07-17,1.86,0.161
2022-07-18,1.8,0.179
2022-07-19,2.19,0.148
2022-07-20,1.87,0.149
2022-07-21,2.38,0.14
2022-07-22,2.08,0.132
2022-07-23,1.8,0.141
2022-07-24,2.1,0.18
2022-07-25,2.0,0.15
2022-07-26,2.39,0.158
2022-07-27,2.4,0.152
2022-07-28,2.23,0.156
2022-07-29,2.14,0.172
2022-07-30,2.21,0.132
2022-07-31,2.23,0.166
2022-08-01,2.35,0.141
2022-08-02,2.31,0.138
2022-08-03,1.87,0.161
2022-08-04,2.11,0.176
2022-08-05,1.8,0.156
2022-08-06,1.99,0.162
2022-08-07,1.81,0.17
2022-08-08,1.95,0.17
2022-08-09,1.98,0.156
2022-08-10,1.87,0.172
2022-08-11,2.05,0.156
2022-08-12,2.35,0.168
2022-08-13,2.1,0.157
2022-08-14,2.27,0.167
2022-08-15,1.81,0.155
2022-08-16,1.83,0.135
2022-08-17,2.33,0.161
2022-08-18,1.86,0.144
2022-08-19,2.15,0.141
2022-08-20,1.8,0.173
2022-08-21,1.81,0.149
2022-08-22,1.82,0.178
2022-08-23,2.41,0.178
2022-08-24,2.02,0.175
2022-08-25,1.84,0.169
2022-08-26,1.82,0.142
2022-08-27,2.06,0.143
2022-08-28,1.92,0.141
2022-08-29,1.97,0.153
2022-08-30,1.9,0.153
2022-08-31,2.41,0.163
2022-09-01,1.95,0.139
2022-09-02,2.38,0.178
2022-09-03,1.86,0.166
2022-09-04,2.28,0.13
2022-09-05,1.92,0.157
2022-09-06,2.2,0.155
2022-09-07,2.17,0.147
2022-09-08,2.31,0.138
2022-09-09,2.09,0.154
2022-09-10,2.14,0.132
2022-09-11,1.94,0.15
2022-09-12,2.37,0.152
2022-09-13,1.88,0.151
2022-09-14,2.32,0.155
2022-09-15,1.99,0.143
2022-09-16,1.88,0.156
2022-09-17,2.14,0.179
2022-09-18,1.82,0.148
2022-09-19,2.4,0.171
2022-09-20,1.83,0.162
2022-09-21,1.83,0.136
2022-09-22,2.17,0.148
2022-09-23,1.95,0.153
2022-09-24,1.87,0.154
2022-09-25,1.82,0.137
2022-09-26,2.38,0.157
2022-09-27,2.15,0.144
2022-09-28,2.28,0.164
2022-09-29,2.1,0.158
2022-09-30,2.02,0.147
2022-10-01,2.2,0.147
2022-10-02,1.82,0.142
2022-10-03,2.36,0.176
2022-10-04,1.99,0.165
2022-10-05,2.37,0.138
2022-10-06,2.28,0.159
2022-10-07,1.99,0.154
2022-10-08,2.3,0.169
2022-10-09,2.22,0.169
2022-10-10,2.19,0.171
2022-10-11,2.2,0.158
2022-10-12,2.17,0.152
2022-10-13,2.39,0.162
2022-10-14,1.8,0.137
2022-10-15,2.08,0.17
2022-10-16,2.21,0.159
2022-10-17,1.87,0.176
2022-10-18,1.79,0.171
2022-10-19,1.92,0.151
2022-10-20,1.91,0.15
2022-10-21,1.99,0.154
2022-10-22,2.07,0.165
2022-10-23,2.33,0.177
2022-10-24,2.41,0.162
2022-10-25,1.84,0.158
2022-10-26,2.03,0.142
2022-10-27,1.99,0.133
2022-10-28,1.94,0.145
2022-10-29,1.93,0.148
2022-10-30,2.29,0.167
2022-10-31,2.02,0.164
2022-11-01,2.25,0.172
2022-11-02,2.24,0.173
2022-11-03,2.41,0.156
2022-11-04,2.01,0.167
2022-11-05,1.8,0.175
2022-11-06,2.04,0.148
2022-11-07,1.79,0.171
2022-11-08,1.97,0.147
2022-11-09,1.82,0.143
2022-11-10,1.95,0.164
2022-11-11,1.95,0.174
2022-11-12,1.88,0.146
2022-11-13,2.29,0.15
2022-11-14,2.16,0.169
2022-11-15,1.81,0.133
2022-11-16,1.81,0.138
2022-11-17,1.87,0.163
2022-11-18,2.15,0.172
2022-11-19,2.39,0.154
2022-11-20,2.25,0.13
2022-11-21,2.11,0.143
2022-11-22,2.19,0.149
2022-11-23,2.3,0.172
2022-11-24,1.95,0.17
2022-11-25,1.81,0.157
2022-11-26,2.3,0.17
2022-11-27,2.24,0.161
2022-11-28,1.98,0.158
2022-11-29,2.06,0.137
2022-11-30,2.09,0.14
2022-12-01,2.14,0.133
2022-12-02,1.99,0.173
2022-12-03,1.98,0.134
2022-12-04,1.99,0.153
2022-12-05,1.83,0.174
2022-12-06,1.87,0.155
2022-12-07,2.05,0.165
