Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2023-01-01,2.42,0.14
2023-01-02,2.17,0.177
2023-01-03,2.01,0.181
2023-01-04,2.44,0.174
2023-01-05,2.52,0.147
2023-01-06,2.25,0.162
2023-01-07,2.21,0.142
2023-01-08,2.18,0.167
2023-01-09,2.52,0.177
2023-01-10,2.27,0.151
2023-01-11,2.4,0.183
2023-01-12,2.18,0.186
2023-01-13,2.48,0.168
2023-01-14,2.15,0.157
2023-01-15,2.38,0.147
2023-01-16,2.15,0.194
2023-01-17,2.24,0.162
2023-01-18,2.04,0.169
2023-01-19,2.27,0.161
2023-01-20,2.37,0.189
2023-01-21,2.51,0.151
2023-01-22,2.03,0.192
2023-01-23,2.08,0.149
2023-01-24,2.44,0.146
2023-01-25,1.92,0.168
2023-01-26,1.94,0.162
2023-01-27,2.31,0.144
2023-01-28,2.16,0.162
2023-01-29,1.89,0.174
2023-01-30,2.13,0.151
2023-01-31,2.34,0.149
2023-02-01,2.45,0.167
2023-02-02,1.95,0.162
2023-02-03,2.1,0.151
2023-02-04,2.52,0.178
2023-02-05,2.35,0.178
2023-02-06,2.3,0.197
2023-02-07,2.24,0.161
2023-02-08,2.13,0.144
2023-02-09,2.53,0.175
2023-02-10,1.87,0.195
2023-02-11,1.92,0.141
2023-02-12,2.16,0.157
2023-02-13,2.25,0.192
2023-02-14,2.34,0.155
2023-02-15,2.25,0.175
2023-02-16,2.2,0.184
2023-02-17,2.43,0.158
2023-02-18,2.17,0.164
2023-02-19,1.88,0.14
2023-02-20,2.13,0.163
2023-02-21,2.04,0.179
2023-02-22,2.13,0.147
2023-02-23,2.44,0.176
2023-02-24,1.94,0.181
2023-02-25,1.88,0.178
2023-02-26,2.15,0.194
2023-02-27,2.42,0.186
2023-02-28,2.13,0.144
2023-03-01,2.4,0.194
2023-03-02,2.27,0.188
2023-03-03,1.88,0.176
2023-03-04,2.08,0.16
2023-03-05,1.88,0.198
2023-03-06,2.51,0.15
2023-03-07,2.33,0.153
2023-03-08,2.33,0.16
2023-03-09,2.05,0.177
2023-03-10,2.3,0.169
2023-03-11,2.5,0.148
2023-03-12,2.53,0.165
2023-03-13,2.2,0.143
2023-03-14,2.1,0.146
2023-03-15,2.26,0.162
2023-03-16,2.38,0.144
2023-03-17,2.03,0.153
2023-03-18,2.23,0.182
2023-03-19,1.91,0.17
2023-03-20,2.17,0.192
2023-03-21,2.05,0.184
2023-03-22,2.19,0.141
2023-03-23,1.95,0.161
2023-03-24,2.06,0.189
2023-03-25,2.0,0.194
2023-03-26,1.87,0.142
2023-03-27,2.32,0.195
2023-03-28,2.15,0.178
2023-03-29,2.2,0.194
2023-03-30,2.24,0.156
2023-03-31,1.9,0.161
2023-04-01,2.41,0.148
2023-04-02,2.32,0.188
2023-04-03,1.89,0.182
2023-04-04,2.49,0.194
2023-04-05,1.9,0.186
2023-04-06,1.88,0.162
2023-04-07,1.93,0.165
2023-04-08,2.53,0.176
2023-04-09,2.02,0.151
2023-04-10,2.24,0.15
2023-04-11,2.11,0.153
2023-04-12,2.04,0.183
2023-04-13,2.06,0.147
2023-04-14,2.31,0.142
2023-04-15,2.12,0.156
2023-04-16,1.89,0.177
2023-04-17,2.21,0.167
2023-04-18,1.94,0.158
2023-04-19,2.31,0.142
2023-04-20,2.24,0.157
2023-04-21,2.07,0.177
2023-04-22,1.88,0.192
2023-04-23,2.12,0.171
2023-04-24,2.17,0.141
2023-04-25,2.11,0.147
2023-04-26,2.49,0.164
2023-04-27,2.31,0.181
2023-04-28,1.97,0.145
2023-04-29,2.11,0.187
2023-04-30,2.2,0.188
2023-05-01,2.23,0.193
2023-05-02,2.48,0.147
2023-05-03,2.28,0.165
2023-05-04,2.46,0.16
2023-05-05,2.46,0.142
2023-05-06,1.9,0.172
2023-05-07,2.08,0.192
2023-05-08,2.13,0.149
2023-05-09,2.01,0.16
2023-05-10,2.1,0.149
2023-05-11,2.21,0.193
2023-05-12,2.23,0.168
2023-05-13,1.96,0.141
2023-05-14,2.48,0.145
2023-05-15,2.32,0.161
2023-05-16,2.3,0.155
2023-05-17,2.25,0.199
2023-05-18,2.43,0.16
2023-05-19,2.11,0.156
2023-05-20,2.35,0.153
2023-05-21,1.91,0.156
2023-05-22,2.3,0.176
2023-05-23,2.3,0.177
2023-05-24,2.32,0.145
2023-05-25,1.91,0.156
2023-05-26,2.28,0.183
2023-05-27,2.18,0.165
2023-05-28,2.22,0.182
2023-05-29,2.15,0.161
2023-05-30,2.15,0.158
2023-05-31,2.43,0.156
2023-06-01,2.01,0.178
2023-06-02,2.43,0.145
2023-06-03,2.17,0.199
2023-06-04,2.29,0.163
2023-06-05,2.08,0.157
2023-06-06,2.39,0.162
2023-06-07,2.06,0.149
2023-06-08,1.94,0.152
2023-06-09,2.12,0.182
2023-06-10,2.26,0.182
2023-06-11,2.22,0.194
2023-06-12,2.43,0.156
2023-06-13,2.24,0.166
2023-06-14,2.21,0.174
2023-06-15,2.39,0.153
2023-06-16,1.97,0.145
2023-06-17,2.21,0.166
2023-06-18,2.34,0.176
2023-06-19,2.51,0.156
2023-06-20,2.15,0.186
2023-06-21,1.91,0.19
2023-06-22,2.28,0.164
2023-06-23,2.18,0.19
2023-06-24,2.39,0.153
2023-06-25,2.45,0.183
2023-06-26,1.89,0.176
2023-06-27,1.94,0.17
2023-06-28,1.94,0.195
2023-06-29,2.52,0.154
2023-06-30,2.42,0.189
2023-07-01,2.27,0.175
2023-07-02,2.39,0.159
2023-07-03,1.97,0.167
2023-07-04,1.97,0.142
2023-07-05,1.98,0.147
2023-07-06,1.88,0.195
2023-07-07,1.91,0.197
2023-07-08,2.47,0.148
2023-07-09,2.25,0.194
2023-07-10,2.3,0.165
2023-07-11,2.11,0.185
2023-07-12,2.29,0.156
2023-07-13,2.01,0.17
2023-07-14,2.4,0.158
2023-07-15,2.4,0.176
2023-07-16,2.0,0.154
2023-07-17,2.42,0.143
2023-07-18,1.92,0.185
2023-07-19,2.0,0.144
2023-07-20,2.11,0.145
2023-07-21,2.31,0.144
2023-07-22,1.98,0.18
2023-07-23,2.39,0.155
2023-07-24,2.03,0.197
2023-07-25,1.95,0.172
2023-07-26,2.53,0.163
2023-07-27,2.38,0.164
2023-07-28,2.22,0.143
2023-07-29,1.9,0.161
2023-07-30,2.39,0.178
2023-07-31,2.43,0.171
2023-08-01,2.16,0.199
2023-08-02,2.11,0.197
2023-08-03,2.16,0.173
2023-08-04,2.09,0.141
2023-08-05,2.21,0.145
2023-08-06,2.43,0.199
2023-08-07,1.9,0.182
2023-08-08,1.88,0.177
2023-08-09,2.2,0.171
2023-08-10,2.35,0.149
2023-08-11,2.49,0.147
2023-08-12,2.38,0.197
2023-08-13,2.25,0.162
2023-08-14,2.31,0.191
2023-08-15,2.51,0.18
2023-08-16,2.14,0.167
2023-08-17,2.11,0.183
2023-08-18,2.32,0.185
2023-08-19,2.31,0.195
2023-08-20,2.19,0.169
2023-08-21,2.29,0.156
2023-08-22,2.16,0.178
2023-08-23,2.3,0.175
2023-08-24,2.08,0.166
2023-08-25,2.03,0.17
2023-08-26,2.25,0.198
2023-08-27,1.92,0.149
2023-08-28,2.3,0.172
2023-08-29,2.48,0.156
2023-08-30,2.51,0.167
2023-08-31,2.28,0.16
2023-09-01,1.97,0.141
2023-09-02,1.99,0.149
2023-09-03,2.13,0.156
2023-09-04,2.07,0.16
2023-09-05,2.16,0.157
2023-09-06,2.28,0.143
2023-09-07,1.96,0.195
2023-09-08,2.26,0.152
2023-09-09,2.26,0.166
2023-09-10,2.34,0.191
2023-09-11,2.16,0.18
2023-09-12,2.5,0.186
2023-09-13,1.96,0.176
2023-09-14,2.4,0.157
2023-09-15,1.91,0.174
2023-09-16,2.0,0.147
2023-09-17,2.05,0.177
2023-09-18,2.17,0.161
2023-09-19,1.89,0.179
2023-09-20,2.03,0.184
2023-09-21,1.9,0.144
2023-09-22,2.13,0.165
2023-09-23,2.04,0.17
2023-09-24,2.02,0.187
2023-09-25,2.12,0.174
2023-09-26,2.42,0.173
2023-09-27,2.13,0.197
2023-09-28,2.23,0.194
2023-09-29,1.91,0.165
2023-09-30,2.2,0.151
2023-10-01,2.36,0.171
2023-10-02,2.46,0.15
2023-10-03,2.23,0.185
2023-10-04,1.99,0.173
2023-10-05,1.97,0.176
2023-10-06,2.5,0.178
2023-10-07,2.29,0.168
2023-10-08,2.39,0.185
2023-10-09,2.15,0.156
2023-10-10,2.35,0.165
2023-10-11,1.95,0.142
2023-10-12,2.45,0.168
2023-10-13,2.28,0.182
2023-10-14,2.09,0.189
2023-10-15,1.89,0.151
2023-10-16,1.94,0.15
2023-10-17,2.19,0.149
2023-10-18,2.45,0.19
2023-10-19,1.89,0.172
2023-10-20,2.15,0.166
2023-10-21,2.34,0.187
2023-10-22,2.24,0.153
2023-10-23,1.98,0.147
2023-10-24,2.08,0.165
2023-10-25,2.24,0.155
2023-10-26,2.1,0.19
2023-10-27,2.22,0.176
2023-10-28,1.98,0.162
2023-10-29,2.53,0.189
2023-10-30,1.94,0.162
2023-10-31,2.53,0.194
2023-11-01,2.53,0.152
2023-11-02,2.34,0.198
2023-11-03,2.2,0.174
2023-11-04,2.17,0.179
2023-11-05,2.34,0.179
2023-11-06,2.28,0.163
2023-11-07,2.08,0.144
2023-11-08,2.39,0.174
2023-11-09,2.52,0.15
2023-11-10,1.91,0.181
2023-11-11,1.91,0.175
2023-11-12,2.29,0.194
2023-11-13,1.87,0.18
2023-11-14,2.22,0.168
2023-11-15,2.42,0.18
2023-11-16,2.43,0.16
2023-11-17,1.94,0.16
2023-11-18,2.43,0.154
2023-11-19,1.9,0.141
2023-11-20,2.4,0.194
2023-11-21,2.12,0.198
2023-11-22,2.37,0.148
2023-11-23,2.34,0.169
2023-11-24,2.09,0.19
2023-11-25,2.08,0.178
2023-11-26,2.3,0.199
2023-11-27,2.43,0.151
2023-11-28,2.42,0.15
2023-11-29,2.25,0.199
2023-11-30,2.13,0.144
2023-12-01,2.36,0.192
2023-12-02,2.17,0.173
2023-12-03,2.23,0.147
2023-12-04,2.26,0.183
2023-12-05,2.37,0.157
2023-12-06,2.4,0.149
2023-12-07,2.11,0.183
2023-12-08,2.18,0.163
2023-12-09,2.01,0.19
2023-12-10,2.09,0.173
2023-12-11,2.3,0.182
2023-12-12,2.36,0.183
2023-12-13,2.29,0.193
2023-12-14,2.33,0.18
2023-12-15,1.91,0.2
2023-12-16,1.87,0.158
2023-12-17,2.37,0.166
2023-12-18,2.18,0.167
2023-12-19,2.0,0.18
2023-12-20,2.44,0.175
2023-12-21,1.95,0.199
2023-12-22,2.41,0.178
2023-12-23,2.4,0.151
2023-12-24,2.29,0.175
2023-12-25,2.4,0.143
2023-12-26,2.5,0.193
2023-12-27,1.92,0.181
2023-12-28,1.91,0.142
2023-12-29,2.35,0.147
2023-12-30,2.3,0.192
2023-12-31,2.12,0.18
