Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2025-01-01,2.67,0.204
2025-01-02,2.5,0.186
2025-01-03,2.28,0.231
2025-01-04,2.22,0.174
2025-01-05,2.73,0.24
2025-01-06,2.33,0.176
2025-01-07,2.33,0.21
2025-01-08,2.51,0.195
2025-01-09,2.67,0.221
2025-01-10,2.59,0.184
2025-01-11,2.42,0.168
2025-01-12,2.36,0.22
2025-01-13,2.23,0.18
2025-01-14,2.43,0.226
2025-01-15,2.37,0.186
2025-01-16,2.31,0.232
2025-01-17,2.58,0.177
2025-01-18,2.17,0.223
2025-01-19,2.5,0.223
2025-01-20,2.25,0.18
2025-01-21,2.51,0.169
2025-01-22,2.22,0.183
2025-01-23,2.63,0.169
2025-01-24,2.43,0.186
2025-01-25,2.73,0.163
2025-01-26,2.29,0.232
2025-01-27,2.46,0.194
2025-01-28,2.73,0.226
2025-01-29,2.73,0.194
2025-01-30,2.54,0.208
2025-01-31,2.41,0.23
2025-02-01,2.62,0.208
2025-02-02,2.25,0.16
2025-02-03,2.37,0.212
2025-02-04,2.41,0.222
2025-02-05,2.21,0.205
2025-02-06,2.64,0.179
2025-02-07,2.23,0.166
2025-02-08,2.63,0.174
2025-02-09,2.4,0.214
2025-02-10,2.05,0.23
2025-02-11,2.34,0.225
2025-02-12,2.66,0.234
2025-02-13,2.58,0.169
2025-02-14,2.32,0.167
2025-02-15,2.37,0.18
2025-02-16,2.29,0.197
2025-02-17,2.48,0.239
2025-02-18,2.25,0.21
2025-02-19,2.66,0.167
2025-02-20,2.07,0.224
2025-02-21,2.08,0.183
2025-02-22,2.54,0.196
2025-02-23,2.39,0.238
2025-02-24,2.73,0.217
2025-02-25,2.17,0.216
2025-02-26,2.55,0.173
2025-02-27,2.35,0.223
2025-02-28,2.27,0.177
2025-03-01,2.53,0.231
2025-03-02,2.32,0.211
2025-03-03,2.28,0.236
2025-03-04,2.05,0.223
2025-03-05,2.22,0.172
