Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2021-01-01,2.21,0.158
2021-01-02,2.02,0.155
2021-01-03,2.16,0.137
2021-01-04,2.11,0.127
2021-01-05,2.19,0.123
2021-01-06,1.8,0.148
2021-01-07,2.14,0.128
2021-01-08,2.29,0.151
2021-01-09,1.97,0.133
2021-01-10,2.03,0.131
2021-01-11,1.87,0.152
2021-01-12,1.72,0.138
2021-01-13,2.16,0.134
2021-01-14,2.01,0.13
2021-01-15,2.13,0.159
2021-01-16,1.92,0.142
2021-01-17,2.22,0.14
2021-01-18,2.13,0.141
2021-01-19,2.03,0.125
2021-01-20,1.8,0.134
2021-01-21,2.3,0.151
2021-01-22,2.03,0.127
2021-01-23,2.19,0.13
2021-01-24,1.99,0.121
2021-01-25,1.88,0.146
2021-01-26,1.8,0.132
2021-01-27,1.89,0.16
2021-01-28,1.73,0.146
2021-01-29,2.27,0.132
2021-01-30,1.8,0.139
2021-01-31,2.05,0.123
2021-02-01,2.28,0.133
2021-02-02,1.87,0.127
2021-02-03,2.03,0.155
2021-02-04,1.81,0.143
2021-02-05,1.77,0.126
2021-02-06,1.76,0.124
2021-02-07,2.24,0.121
2021-02-08,2.16,0.134
2021-02-09,2.24,0.126
2021-02-10,2.27,0.13
2021-02-11,2.0,0.137
2021-02-12,2.05,0.152
2021-02-13,1.88,0.152
2021-02-14,1.87,0.131
2021-02-15,2.21,0.153
2021-02-16,1.81,0.134
2021-02-17,1.75,0.143
2021-02-18,1.84,0.145
2021-02-19,1.99,0.127
2021-02-20,2.15,0.133
2021-02-21,2.16,0.158
2021-02-22,1.98,0.133
2021-02-23,2.07,0.146
2021-02-24,1.81,0.141
2021-02-25,2.08,0.159
2021-02-26,1.76,0.149
2021-02-27,1.86,0.132
2021-02-28,2.19,0.129
2021-03-01,2.3,0.148
2021-03-02,2.06,0.127
2021-03-03,1.7,0.155
2021-03-04,1.78,0.128
2021-03-05,2.15,0.155
2021-03-06,1.83,0.157
2021-03-07,2.19,0.146
2021-03-08,1.71,0.146
2021-03-09,1.77,0.137
2021-03-10,1.98,0.124
2021-03-11,2.16,0.154
2021-03-12,1.93,0.134
2021-03-13,2.19,0.124
2021-03-14,2.07,0.122
2021-03-15,2.13,0.143
2021-03-16,2.1,0.144
2021-03-17,1.98,0.159
2021-03-18,1.77,0.158
2021-03-19,1.92,0.149
2021-03-20,1.94,0.149
2021-03-21,1.72,0.129
2021-03-22,1.72,0.133
2021-03-23,1.81,0.158
2021-03-24,2.14,0.16
2021-03-25,2.01,0.129
2021-03-26,2.15,0.131
2021-03-27,1.99,0.122
2021-03-28,2.21,0.132
2021-03-29,1.86,0.139
2021-03-30,2.3,0.132
2021-03-31,1.84,0.147
2021-04-01,1.87,0.148
2021-04-02,1.84,0.144
2021-04-03,1.75,0.143
2021-04-04,1.71,0.137
2021-04-05,2.07,0.156
2021-04-06,2.0,0.151
2021-04-07,2.0,0.123
2021-04-08,2.25,0.159
2021-04-09,2.23,0.156
2021-04-10,2.15,0.151
2021-04-11,1.78,0.131
2021-04-12,2.24,0.127
2021-04-13,1.77,0.155
2021-04-14,2.22,0.13
2021-04-15,2.17,0.121
2021-04-16,2.29,0.134
2021-04-17,2.15,0.148
2021-04-18,2.27,0.133
2021-04-19,1.97,0.155
2021-04-20,2.1,0.158
2021-04-21,1.9,0.126
2021-04-22,2.21,0.135
2021-04-23,2.18,0.157
2021-04-24,1.99,0.153
